runload,alphaload,mu,k,n,outputAmplification,workofSepration,PB
-10000000000.0,1.08086625958947,1.0,0.1,0.2,3.11824036055231,2.18786710724897,9.35295384738762
-100000.0,1.08086625958947,1.0,0.1,0.2,2.7910051831002,2.697229758012,5.23282671374202
-12589.2541179417,1.08086625958947,1.0,0.1,0.2,2.61224859922363,2.86457361147825,4.14904009815763
-1291549.66501488,1.08086625958947,1.0,0.1,0.2,2.9437123495885,2.43950222712767,6.56232992312984
-1584.89319246111,1.08086625958947,1.0,0.1,0.2,2.28985769371455,3.07895493036804,3.15211761629408
-16681005.3720006,1.08086625958947,1.0,0.1,0.2,3.01837826264829,2.06546748174309,7.70834260828036
-199.526231496888,1.08086625958947,1.0,0.1,0.2,1.96564136909989,3.20267651740852,2.32609497329193
-215443469.003188,1.08086625958947,1.0,0.1,0.2,3.08950608692236,2.13394945658226,8.569896747233528
-25118.8643150958,1.08086625958947,1.0,0.1,0.2,2.67521479230558,2.97272273562676,4.50396292694534
-2782559402.20713,1.08086625958947,1.0,0.1,0.2,3.11444847139711,2.17447754958867,9.14985366634007
-3162.27766016838,1.08086625958947,1.0,0.1,0.2,2.39212162145557,3.08260860384216,3.46561118546636
-3162.27766016838,1.08086625958947,1.0,0.1,0.2,2.39741450012425,3.09358293462991,3.46561118546636
-359381.366380463,1.08086625958947,1.0,0.1,0.2,2.86113196027884,2.34778701984277,5.910145068877039
-398.107170553497,1.08086625958947,1.0,0.1,0.2,2.07700466669347,3.17151734670743,2.5811202405209
-4641588.83361277,1.08086625958947,1.0,0.1,0.2,2.9849007140279,2.51182446133808,7.167202177452709
-50118.7233627271,1.08086625958947,1.0,0.1,0.2,2.72682481785848,2.61672582543705,4.866454253793
-59948425.0318941,1.08086625958947,1.0,0.1,0.2,3.0618615300989,2.10405018221475,8.17659341125547
-6309.57344480193,1.08086625958947,1.0,0.1,0.2,2.5586956150632,2.74805798148029,3.7953861559297595
-774263682.681128,1.08086625958947,1.0,0.1,0.2,3.10580308292084,2.15691563943673,8.89187506932819
-794.328234724281,1.08086625958947,1.0,0.1,0.2,2.18514371430017,3.14364703617646,2.8568077001769496
-10000000000.0,3.23321087139675,1.0,0.1,0.2,4.29940293815291,3.083297061949,9.35295384738762
-100000.0,3.23321087139675,1.0,0.1,0.2,3.58918461493656,4.09466326700591,5.23282671374202
-12589.2541179417,3.23321087139675,1.0,0.1,0.2,3.24291064257145,4.8402389064062,4.14904009815763
-1291549.66501488,3.23321087139675,1.0,0.1,0.2,3.88307792041901,4.22917171761926,6.56232992312984
-1584.89319246111,3.23321087139675,1.0,0.1,0.2,2.70478063925851,4.68027875514167,3.15211761629408
-16681005.3720006,3.23321087139675,1.0,0.1,0.2,4.07887530187152,3.34092095922918,7.70834260828036
-199.526231496888,3.23321087139675,1.0,0.1,0.2,2.18255486751822,4.72695271688951,2.32609497329193
-215443469.003188,3.23321087139675,1.0,0.1,0.2,4.20244425350183,3.59409344532633,8.569896747233528
-25118.8643150958,3.23321087139675,1.0,0.1,0.2,3.36637093191889,4.65872541092572,4.50396292694534
-2782559402.20713,3.23321087139675,1.0,0.1,0.2,4.26534498033664,3.0356172961306,9.14985366634007
