runload,alphaload,mu,k,n,outputAmplification,workofSepration
-100000000,15.0325658437667,0.16,0.1,0.2,7.3642220659396,0
-1000000,15.0325658437667,0.16,0.1,0.2,6.16180736043828,0
-10000,15.0325658437667,0.16,0.1,0.2,4.16786388579607,0
-100000000,7.50869810687533,0.16,0.1,0.2,5.38835229325783,0
-1000000,7.50869810687533,0.16,0.1,0.2,4.86474499039101,0
-10000,7.50869810687533,0.16,0.1,0.2,3.74767798946056,0
-100000000,15.0325658437667,0.16,0.1,0.6,8.30219174465346,0
-1000000,15.0325658437667,0.16,0.1,0.6,8.28998554429534,0
-10000,15.0325658437667,0.16,0.1,0.6,8.03629034143018,0
-100,15.0325658437667,0.16,0.1,0.6,4.6075873272916,0
-100000000,7.50869810687533,0.16,0.1,0.6,5.74256459232023,0
-1000000,7.50869810687533,0.16,0.1,0.6,5.73742618842056,0
-10000,7.50869810687533,0.16,0.1,0.6,5.65765857973332,0
-100,7.50869810687533,0.16,0.1,0.6,4.30496339858135,0
-100000000,15.0325658437667,0.16,0.1,1.6,8.30371058698858,0
-1000000,15.0325658437667,0.16,0.1,1.6,8.30364793195868,0
-10000,15.0325658437667,0.16,0.1,1.6,8.30049502032053,0
-100,15.0325658437667,0.16,0.1,1.6,7.869259927357,0
-100000000,7.50869810687533,0.16,0.1,1.6,5.74294293237402,0
-1000000,7.50869810687533,0.16,0.1,1.6,5.74293004068316,0
-10000,7.50869810687533,0.16,0.1,1.6,5.7416259285936,0
-100,7.50869810687533,0.16,0.1,1.6,5.62652698767952,0
